Periods,Greenhouse surface (ha)
1950.040486,3236.074271
1950.040486,3236.074271
1949.838057,3196.286472
1950.323887,3328.912467
1950.202429,3302.387268
1950.48583,3395.225464
1951.174089,3501.32626
1951.376518,3448.275862
1951.983806,3488.06366
1952.591093,3541.114058
1952.834008,3567.639257
1953.927126,3620.689655
1954.008097,3687.002653
1954.210526,3766.578249
1954.65587,3925.729443
1955.020243,4031.830239
1955.263158,4058.355438
1955.82996,4124.668435
1956.356275,4257.29443
1956.639676,4297.082228
1957.246964,4363.395225
1957.773279,4442.970822
1958.097166,4496.02122
1958.623482,4575.596817
1958.906883,4655.172414
1959.149798,4761.27321
1959.676113,4933.687003
1960,5039.787798
1960.323887,5079.575597
1961.012146,5318.302387
1961.174089,5384.615385
1961.336032,5464.190981
1961.983806,5557.029178
1962.550607,5610.079576
1962.834008,5610.079576
1963.765182,5928.381963
1963.967611,5994.69496
1964.331984,6127.320955
1964.817814,6273.209549
1965.060729,6312.997347
1965.465587,6419.098143
1965.789474,6578.249337
1966.072874,6578.249337
1966.072874,6671.087533
1966.032389,6551.724138
1967.08502,6896.551724
1967.408907,6909.814324
1968.137652,7015.915119
1968.54251,7068.965517
1968.906883,7095.490716
1970.080972,7228.116711
1970.283401,7334.217507
1971.295547,7334.217507
1971.700405,7334.217507
1972.712551,7506.6313
1972.995951,7559.681698
1973.157895,7599.469496
1973.724696,7652.519894
1974.331984,7758.62069
1974.534413,7824.933687
1975.1417,7851.458886
1975.708502,7904.509284
1975.991903,7931.034483
1976.680162,7984.084881
1977.044534,8103.448276
1977.449393,8129.973475
1978.623482,8342.175066
1978.947368,8514.588859
1979.311741,8620.689655
1979.676113,8753.31565
1980.445344,8766.578249
1980.769231,8766.578249
1981.012146,8779.840849
1981.619433,8779.840849
1982.226721,8793.103448
1982.550607,8819.628647
1983.319838,8793.103448
1983.846154,8793.103448
1984.17004,8832.891247
1984.817814,8938.992042
1985.303644,9005.30504
1985.587045,9018.567639
1986.153846,9137.931034
1986.842105,9204.244032
1987.530364,9283.819629
1986.518219,9177.718833
1987.894737,9403.183024
1988.421053,9442.970822
1989.109312,9602.122016
