Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1961","1961","t","678065","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1962","1962","t","727200","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1963","1963","t","694982","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1964","1964","t","809554","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1965","1965","t","904351","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1966","1966","t","876684","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1967","1967","t","1000930","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1968","1968","t","1043094","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1969","1969","t","1151344","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1970","1970","t","1217729","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1971","1971","t","1247777","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1972","1972","t","1324397","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1973","1973","t","1427628","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1974","1974","t","1495206","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1975","1975","t","1542275","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1976","1976","t","1649669","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1977","1977","t","1661829","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1978","1978","t","1669662","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1979","1979","t","1711425","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1980","1980","t","1787152","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1981","1981","t","1866283","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1982","1982","t","2004649","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1983","1983","t","2012472","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1984","1984","t","2114737","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1985","1985","t","2232895","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1986","1986","t","2340976","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1987","1987","t","2470498","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1988","1988","t","2530663","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1989","1989","t","2802093","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1990","1990","t","3075577","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1991","1991","t","3403604","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1992","1992","t","3568267","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1993","1993","t","3293993","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","1994","1994","t","3713818","A","Official figure"
