"Vegetables";"Periodes";"Gross yield (mln kg)";"Cropping area (hectares)"
"Vegetables under glass";"1998";"1340.0";"4455"
"Vegetables under glass";"1999";"1393.4";"4517"
"Vegetables under glass";"2000";"1330.8";"4316"
"Vegetables under glass";"2001";"1382.9";"4384"
"Vegetables under glass";"2002";"1409.7";"4388"
"Vegetables under glass";"2003";"1455.7";"4373"
"Vegetables under glass";"2004";"1522.2";"4436"
"Vegetables under glass";"2005";"1559.9";"4545"
"Vegetables under glass";"2006";"1551.3";"4561"
"Vegetables under glass";"2007";"1550.0";"4579"
"Vegetables under glass";"2008";"1607.5";"4692"
"Vegetables under glass";"2009";"1724.6";"4809"
"Vegetables under glass";"2010";"1734.4";"4998"
"Vegetables under glass";"2011";"1741.0";"4958"
"Vegetables under glass";"2012";"1679.0";"4868"
"Vegetables under glass";"2013";"1696.0";"4897"
"Vegetables under glass";"2014";"1803.0";"4860"
"Vegetables under glass";"2015";"1777.0";"4839"
"Vegetables under glass";"2016";"1755.0";"4570"
"Vegetables under glass";"2017";"1804.7";"4454"
"Vegetables under glass";"2018";"1803.0";"4336"
"Vegetables under glass";"2019";"1879.8";"4665"
"Vegetables under glass";"2020";"1923.4";"4807"
"Vegetables under glass";"2021";"1921.9";"4989"
"Vegetables under glass";"2022";"1770.5";"4972"
"Tomatoes (total)";"1998";"510.0";"1175"
"Tomatoes (total)";"1999";"525.0";"1178"
"Tomatoes (total)";"2000";"520.0";"1133"
"Tomatoes (total)";"2001";"550.0";"1224"
"Tomatoes (total)";"2002";"555.0";"1226"
"Tomatoes (total)";"2003";"595.0";"1257"
"Tomatoes (total)";"2004";"655.0";"1352"
"Tomatoes (total)";"2005";"660.0";"1396"
"Tomatoes (total)";"2006";"680.0";"1481"
"Tomatoes (total)";"2007";"685.0";"1545"
"Tomatoes (total)";"2008";"730.0";"1600"
"Tomatoes (total)";"2009";"800.0";"1628"
"Tomatoes (total)";"2010";"815.0";"1676"
"Tomatoes (total)";"2011";"825.0";"1702"
"Tomatoes (total)";"2012";"805.0";"1691"
"Tomatoes (total)";"2013";"855.0";"1768"
"Tomatoes (total)";"2014";"900.0";"1780"
"Tomatoes (total)";"2015";"890.0";"1755"
"Tomatoes (total)";"2016";"900.0";"1775"
"Tomatoes (total)";"2017";"910.0";"1790"
"Tomatoes (total)";"2018";"910.0";"1788"
"Tomatoes (total)";"2019";"910.0";"1800"
"Tomatoes (total)";"2020";"910.0";"1872"
"Tomatoes (total)";"2021";"880.0";"1846"
"Tomatoes (total)";"2022";"770.0";"1815"
